Player,PassesCompleted,PassesAttempted
Benjamin Henrichs,211,278
Luis Henrique,276,343
Mads Hermansen,274,398
Mario Hermoso,105,112
Javi Hernández ,239,328
Aridane Hernández,53,58
Theo Hernández,380,432
Hernani,148,195
Jorge Herrando,132,176
Ander Herrera,175,193
Sergio Herrera,282,436
Yangel Herrera,382,459
,,
Juan Herzog,224,248
Son Heung-min,264,319
Isak Hien,340,381
Omar El Hilali,395,506
Piero Hincapié,532,591
Jack Hinshelwood,410,495
George Hirst,22,41
Adam Hložek,90,133
Ki-Jana Hoever,238,346
Nicolas Höfler,125,145
Jonas Hofmann,99,115
Philipp Hofmann,132,211
Lucas Höler,40,54
Mason Holgate,2,2
Benedict Hollerbach,117,187
Emil Holm,61,86
Lewis Holtby,184,240
Gerrit Holtmann,35,52
Franck Honorat,155,228
Mathias Honsak,82,114
Dinko Horkaš,83,97
Cédric Hountondji,85,100
Ilyes Housni,27,41
Lukáš Hrádecký,202,252
Robin Hranáč,34,47
,,
Callum Hudson-Odoi,253,307
Will Hughes,174,232
Dean Huijsen,128,153
Mats Hummels,13,13
Omari Hutchinson,211,279
Elseid Hysaj,14,16
Hong Hyunseok,67,86
Pierre Højbjerg,935,1004
Oscar Højlund,2,3
Rasmus Højlund,60,74
Pablo Ibáñez,88,133
Stanis Idumbo,12,15
Jay Idzes,519,604
Iglesias,239,439
Borja Iglesias,132,172
Igor,326,352
Kelechi Iheanacho,57,76
Jonathan Ikone,41,51
George Ilenikhena,41,63
Ivan Ilić,281,333
Samuel Iling-Junior,54,74
Danny Ings,14,27
Alessio Iovine,86,120
Tim Iroegbunam,70,99
Jackson Irvine,215,312
,,
Andy Irving,28,28
Alexander Isak,119,161
Gustav Isaksen,153,206
Ismaily,42,49
Ardian Ismajli,334,399
Yanis Issoufou,8,15
Ko Itakura,575,649
Junya Ito,269,423
Marko Ivezić,225,262
Alex Iwobi,373,487
Armando Izzo,521,591
Nicolas Jackson,117,158
Lee Jae-sung,213,276
Kristijan Jakić,231,287
Karl Jakob Hein,373,497
Ismail Jakobs,85,105
Jordan James,8,10
Reece James,183,221
Vitaly Janelt,349,418
Adnan Januzaj,103,142
Vitezslav Jaros,6,8
Ali Jasim,7,9
Mikel Jauregizar,270,332
Dominik Javorček,10,14
Gaby Jean,1,1
,,
Daniel Jebbison,3,5
Fredrik Jensen,29,42
Mathias Jensen,130,179
Moritz Jenz,247,291
Gabriel Jesus,39,53
Juan Jesus,62,73
Raúl Jiménez,110,154
João Pedro,85,115
John Joe,5,7
Joelinton,346,418
Jofre,133,185
